"* Required Fields","* Required Fields"
"Add a message","Add a message"
"Add an answer","Add an answer"
"Allow reply to closed ticket","Allow reply to closed ticket"
"Answer from %s send the","Answer from %s send the"
"Answer","Answer"
"Answer successfully added","Answer successfully added"
"Are you sure you want to delete this ticket?","Are you sure you want to delete this ticket?"
"Back to My Orders","Back to My Orders"
"Chat has been successfully deleted","Chat has been successfully deleted"
"Chat Information","Chat Information"
"Chat was successfully saved","Chat was successfully saved"
"Closed","Closed"
"Create","Create"
"Create new order tickets","Create new order tickets"
"Create new order tickets for order #%s","Create new order tickets for order #%s"
"Create ticket","Create ticket"
"Created at","Created at"
"Cron frequency","Cron frequency"
"Cron recipients","Cron recipients"
"Customer email","Customer email"
"Customer firstname","Customer firstname"
"Customer lastname","Customer lastname"
"Customer request","Customer request"
"Delete","Delete"
"Details","Details"
"Error while creating new order tickets: %s","Error while creating new order tickets: %s"
"Error while deleting chat: %s","Error while deleting chat: %s"
"Error while deleting ticket: %s","Error while deleting ticket: %s"
"Error while saving your message. Please try again","Error while saving your message. Please try again"
"Firstname","Firstname"
"General Information","General Information"
"Last answer date","Last answer date"
"Last tickets send by customers","Last tickets send by customers"
"Lastname","Lastname"
"Message","Message"
"Message date","Message date"
"Message from %s","Message from %s"
"Messages","Messages"
"No order selected for creating new order tickets.","No order selected for creating new order tickets."
"Open","Open"
"Order","Order"
"Order #%s - Messages","Order #%s - Messages"
"Order not found.","Order not found."
"Order tickets","Order tickets"
"Orders tickets","Orders tickets"
"Order tickets details","Order tickets details"
"Pending answer","Pending answer"
"Please select an order","Please select an order"
"Send","Send"
"Send the","Send the"
"Separate recipients with comma","Separate recipients with comma"
"Status","Status"
"Store answer","Store answer"
"There is no data to save.","There is no data to save."
"There is no ticket associated to this order","There is no ticket associated to this order"
"This chat does not exist","This chat does not exist"
"Tickets","Tickets"
"Tickets already exist for this order. Please add new here.","Tickets already exist for this order. Please add new here."
"Tickets for order %s","Tickets for order %s"
"Ticket has been successfully deleted","Ticket has been successfully deleted"
"Ticket type","Ticket type"
"Ticket has been correctly saved.","Ticket has been correctly saved."
"Your message send the","Your message send the"
"Your message was successfully recorded","Your message was successfully recorded"
