"* Required Fields","* Champs Obligatoires"
"Add a message","Ajouter un message"
"Add an answer","Ajouter une réponse"
"Allow reply to closed ticket","Autoriser à répondre à un ticket fermé"
"Answer from %s send the","Réponse de %s envoyée le"
"Answer","Réponse"
"Answer successfully added","Votre réponse a bien été ajoutée"
"Are you sure you want to delete this ticket?","Êtes vous sûr(e) de vouloir supprimer ce ticket ?"
"Back to My Orders","Retour à l'historique des commandes"
"Chat has been successfully deleted","Cette discussion a bien été supprimée"
"Chat Information","Informations sur la discussion"
"Chat was successfully saved","La discussion a bien été enregistrée"
"Closed","Clôturé"
"Create","Création"
"Create new order tickets","Créer un ticket pour une commande"
"Create new order tickets for order #%s","Créer un ticket pour la commande n°%s"
"Create ticket","Créer un ticket"
"Created at","Créé le"
"Cron frequency","Fréquence du cron"
"Cron recipients","Destinataires de l'email du cron"
"Customer email","Email du client"
"Customer firstname","Prénom du client"
"Customer lastname","Nom du client"
"Customer request","Demande du client"
"Delete","Suppression"
"Details","Détails"
"Error while creating new order tickets: %s","Erreur lors de la création d'un nouveau ticket de commande : %s"
"Error while deleting chat: %s","Erreur lors de la suppression de la discussion : %s"
"Error while deleting ticket: %s","Erreur lors de la suppression du ticket : %s"
"Error while saving your message. Please try again","Erreur lors de l'enregistrement de votre message. Veuillez réessayer."
"Firstname","Prénom"
"General Information","Informations générales"
"Last answer date","Date de la dernière réponse"
"Last tickets send by customers","Derniers messages envoyés par les clients"
"Lastname","Nom"
"Message","Message"
"Message date","Date du message"
"Message from %s","Message de %s"
"Messages","Messages"
"No order selected for creating new order tickets.","Aucune commande n'a été sélectionnée pour créer un nouveau ticket."
"Open","Ouvert"
"Order","Commande"
"Order #%s - Messages","Commande n°%s - Messages"
"Order not found.","Commande inconnue."
"Order tickets","Tickets de la commande"
"Orders tickets","Tickets des commandes"
"Order tickets details","Détails du ticket de la commande"
"Pending answer","En attente de réponse"
"Please select an order","Veuillez sélectionner une commande"
"Send","Envoyer"
"Send the","Envoyé le"
"Separate recipients with comma","Séparer les destinataires avec des virgules"
"Status","Statut"
"Store answer","Réponse du magasin"
"There is no data to save.","Il n'y a aucune donnée à sauvegarder."
"There is no ticket associated to this order","Il n'y a pas de ticket associé à cette commande"
"This chat does not exist","Cette discussion n'existe pas"
"Tickets already exist for this order. Please add new here.","Il existe déjà des tickets pour cette commande. Ajoutez les nouveaux ici."
"Tickets for order %s","Tickets de la commande %s"
"Ticket has been successfully deleted","Le ticket a bien été supprimé"
"Ticket type","Type de ticket"
"Ticket has been correctly saved.","Le ticket a bien été enregistré."
"Your message send the","Votre message envoyé le"
"Your message was successfully recorded","Votre message a bien été enregistré"
